iteration,PINN__seed2__rel_l2_error,PINN__seed3__rel_l2_error,PINN__seed20__rel_l2_error,PINN__seed42__rel_l2_error,PINN__seed88__rel_l2_error,PINN__seed123__rel_l2_error,PINN__seed456__rel_l2_error,PINN__seed487__rel_l2_error,PINN__seed578__rel_l2_error,PINN__seed965__rel_l2_error,PINN-RAR__seed2__rel_l2_error,PINN-RAR__seed3__rel_l2_error,PINN-RAR__seed20__rel_l2_error,PINN-RAR__seed42__rel_l2_error,PINN-RAR__seed88__rel_l2_error,PINN-RAR__seed123__rel_l2_error,PINN-RAR__seed456__rel_l2_error,PINN-RAR__seed487__rel_l2_error,PINN-RAR__seed578__rel_l2_error,PINN-RAR__seed965__rel_l2_error,QPINN__seed2__rel_l2_error,QPINN__seed3__rel_l2_error,QPINN__seed20__rel_l2_error,QPINN__seed42__rel_l2_error,QPINN__seed88__rel_l2_error,QPINN__seed123__rel_l2_error,QPINN__seed456__rel_l2_error,QPINN__seed487__rel_l2_error,QPINN__seed578__rel_l2_error,QPINN__seed965__rel_l2_error,QPINN-RAR__seed2__rel_l2_error,QPINN-RAR__seed3__rel_l2_error,QPINN-RAR__seed20__rel_l2_error,QPINN-RAR__seed42__rel_l2_error,QPINN-RAR__seed88__rel_l2_error,QPINN-RAR__seed123__rel_l2_error,QPINN-RAR__seed456__rel_l2_error,QPINN-RAR__seed487__rel_l2_error,QPINN-RAR__seed578__rel_l2_error,QPINN-RAR__seed965__rel_l2_error
3500,0.015,0.024,0.0059,0.017,0.02,0.012,0.0062,0.01,0.009,0.0086,0.0088,0.045,0.016,0.013,0.02,0.015,0.007,0.01,0.015,0.018,0.0055,0.0064,0.0032,0.01,0.0039,0.0064,0.0075,0.0063,0.0047,0.0036,0.0036,0.0081,0.0056,0.0074,0.0078,0.0049,0.0093,0.0066,0.0042,0.0086
3600,0.02,0.023,0.0041,0.017,0.015,0.0075,0.014,0.011,0.015,0.028,0.0069,0.038,0.0046,0.014,0.015,0.028,0.014,0.014,0.011,0.012,0.0071,0.0041,0.0029,0.0095,0.004,0.0074,0.0051,0.0057,0.0092,0.0073,0.0045,0.0051,0.0072,0.0066,0.0057,0.0036,0.0049,0.0043,0.0048,0.011
3700,0.018,0.012,0.013,0.012,0.011,0.016,0.021,0.024,0.039,0.018,0.0077,0.083,0.0042,0.018,0.019,0.015,0.0071,0.012,0.018,0.012,0.0057,0.0085,0.0079,0.0095,0.0064,0.0045,0.0082,0.0038,0.0034,0.0049,0.0029,0.0056,0.0035,0.0057,0.006,0.0088,0.0059,0.0058,0.004,0.0055
3800,0.0096,0.046,0.006,0.012,0.015,0.013,0.0063,0.018,0.0071,0.0085,0.01,0.015,0.01,0.013,0.032,0.022,0.009,0.033,0.02,0.014,0.0067,0.0099,0.007,0.0068,0.0043,0.0029,0.0033,0.011,0.0058,0.0044,0.0042,0.0028,0.0043,0.0083,0.0041,0.0045,0.0064,0.01,0.0053,0.0057
3900,0.011,0.057,0.013,0.013,0.01,0.014,0.006,0.021,0.017,0.017,0.013,0.019,0.0083,0.026,0.018,0.022,0.0081,0.011,0.012,0.016,0.0063,0.0062,0.0094,0.0065,0.0048,0.0058,0.0085,0.0055,0.0076,0.004,0.0049,0.0048,0.0076,0.0055,0.0046,0.0083,0.0045,0.0051,0.0061,0.0032
4000,0.0063,0.095,0.011,0.022,0.018,0.021,0.0061,0.041,0.01,0.011,0.012,0.014,0.0067,0.01,0.013,0.029,0.0084,0.011,0.0075,0.02,0.0045,0.005,0.0039,0.0093,0.0056,0.004,0.0091,0.0087,0.0048,0.0048,0.0042,0.0065,0.0045,0.0059,0.0066,0.0064,0.0048,0.0051,0.0038,0.0027
4100,0.016,0.014,0.011,0.015,0.011,0.011,0.014,0.0078,0.01,0.016,0.0079,0.012,0.016,0.18,0.015,0.028,0.011,0.016,0.0058,0.013,0.0047,0.0034,0.0055,0.0056,0.012,0.0065,0.0055,0.0072,0.0087,0.0051,0.0045,0.0042,0.0032,0.012,0.005,0.0062,0.0043,0.0074,0.0046,0.0045
4200,0.012,0.015,0.0049,0.013,0.017,0.014,0.016,0.0095,0.0062,0.0043,0.0061,0.013,0.018,0.06,0.02,0.011,0.0047,0.023,0.034,0.016,0.0028,0.0046,0.0072,0.0081,0.0036,0.011,0.0076,0.0054,0.007,0.0075,0.0032,0.0042,0.01,0.0096,0.0068,0.005,0.0064,0.0063,0.003,0.0032
4300,0.011,0.011,0.0064,0.049,0.0098,0.0064,0.012,0.019,0.0073,0.011,0.015,0.013,0.0064,0.028,0.023,0.019,0.017,0.012,0.016,0.01,0.0042,0.0024,0.0034,0.0093,0.0052,0.0036,0.012,0.009,0.0074,0.0079,0.0065,0.0042,0.0062,0.006,0.006,0.0064,0.0077,0.0058,0.0064,0.0053
4400,0.0051,0.014,0.015,0.0073,0.023,0.011,0.0056,0.019,0.016,0.0098,0.014,0.01,0.0094,0.018,0.048,0.025,0.021,0.015,0.028,0.0084,0.011,0.0046,0.0027,0.0078,0.0036,0.0042,0.0052,0.0038,0.0084,0.0048,0.0046,0.0042,0.0073,0.0052,0.005,0.0049,0.0064,0.0049,0.0065,0.0078
4500,0.015,0.02,0.0082,0.014,0.012,0.0084,0.013,0.012,0.014,0.0056,0.0087,0.027,0.007,0.029,0.018,0.012,0.0095,0.017,0.026,0.013,0.0049,0.004,0.0043,0.0084,0.0065,0.0066,0.0088,0.0074,0.0063,0.0067,0.0038,0.0076,0.0049,0.01,0.0061,0.0073,0.0058,0.0051,0.004,0.0056
4600,0.0056,0.0068,0.0064,0.013,0.02,0.012,0.0076,0.008,0.02,0.022,0.012,0.0082,0.0094,0.053,0.013,0.0097,0.039,0.027,0.017,0.0065,0.0054,0.0026,0.0082,0.0082,0.0084,0.0064,0.0047,0.0059,0.0058,0.0067,0.0052,0.0046,0.0037,0.0058,0.0043,0.0091,0.0095,0.0052,0.0037,0.0088
4700,0.0049,0.013,0.0073,0.01,0.011,0.01,0.0044,0.011,0.016,0.0057,0.013,0.013,0.0063,0.013,0.013,0.0091,0.011,0.014,0.01,0.0074,0.0058,0.0044,0.0069,0.0065,0.0044,0.0072,0.006,0.0095,0.0094,0.006,0.0062,0.0048,0.0033,0.0045,0.0073,0.011,0.0034,0.0081,0.007,0.0074
