iteration,PINN__seed2__loss,PINN__seed3__loss,PINN__seed20__loss,PINN__seed42__loss,PINN__seed88__loss,PINN__seed123__loss,PINN__seed456__loss,PINN__seed487__loss,PINN__seed578__loss,PINN__seed965__loss,PINN-RAR__seed2__loss,PINN-RAR__seed3__loss,PINN-RAR__seed20__loss,PINN-RAR__seed42__loss,PINN-RAR__seed88__loss,PINN-RAR__seed123__loss,PINN-RAR__seed456__loss,PINN-RAR__seed487__loss,PINN-RAR__seed578__loss,PINN-RAR__seed965__loss,QPINN__seed2__loss,QPINN__seed3__loss,QPINN__seed20__loss,QPINN__seed42__loss,QPINN__seed88__loss,QPINN__seed123__loss,QPINN__seed456__loss,QPINN__seed487__loss,QPINN__seed578__loss,QPINN__seed965__loss,QPINN-RAR__seed2__loss,QPINN-RAR__seed3__loss,QPINN-RAR__seed20__loss,QPINN-RAR__seed42__loss,QPINN-RAR__seed88__loss,QPINN-RAR__seed123__loss,QPINN-RAR__seed456__loss,QPINN-RAR__seed487__loss,QPINN-RAR__seed578__loss,QPINN-RAR__seed965__loss
3300,0.00026,0.00018,5.5e-05,0.0003,0.00046,0.00017,0.00012,0.00016,8.6e-05,0.00016,0.00022,0.00038,8.6e-05,0.00026,0.00026,8e-05,6.4e-05,0.00017,8.9e-05,0.00011,5.5e-05,3.6e-05,6.4e-05,0.00015,6.1e-05,5.5e-05,6.2e-05,6.5e-05,0.0001,4.2e-05,3.8e-05,6.2e-05,3.3e-05,0.00013,8.9e-05,6.7e-05,5.8e-05,7.9e-05,5.3e-05,7.9e-05
3400,0.00015,0.00016,0.00015,0.00021,0.00031,6.1e-05,9.3e-05,0.00012,7.9e-05,0.00011,0.00016,0.00031,0.0001,0.00017,0.0004,0.00014,4.5e-05,0.00013,7e-05,0.00012,5.6e-05,3.7e-05,6.7e-05,0.0001,3.8e-05,3.9e-05,5.1e-05,4.8e-05,8.3e-05,4e-05,3.3e-05,9.1e-05,8.9e-05,0.00011,8.2e-05,4.9e-05,7e-05,9.6e-05,0.00012,0.00011
3500,0.00015,0.00034,0.00011,0.0002,0.00037,0.00015,6.4e-05,0.00015,8.4e-05,0.00015,0.00019,0.00041,0.00016,0.00022,0.00021,0.00011,7.7e-05,0.00016,8.8e-05,0.00013,5.6e-05,5.2e-05,3.3e-05,0.00013,4e-05,7.4e-05,4.6e-05,8.1e-05,3.1e-05,4.4e-05,2.8e-05,6.4e-05,6.6e-05,7.8e-05,6.7e-05,7.9e-05,7.9e-05,6.1e-05,8.3e-05,0.0001
3600,0.00015,0.00043,6.5e-05,0.00015,0.00023,8.9e-05,9.8e-05,0.00015,3.9e-05,9.6e-05,0.00013,0.00029,4.9e-05,0.00029,0.00023,0.00013,5.2e-05,0.00016,5.9e-05,0.00014,7.3e-05,6.3e-05,7.7e-05,0.00013,3.7e-05,4.4e-05,6.7e-05,7.4e-05,8.4e-05,3.4e-05,4.1e-05,8.7e-05,7.5e-05,0.00015,7e-05,6.4e-05,8.8e-05,7e-05,7.5e-05,9.1e-05
3700,0.00019,0.0002,7.4e-05,0.00018,0.00044,7.7e-05,5.8e-05,0.00021,0.00011,0.00011,0.00013,0.00033,5e-05,0.00019,0.00034,0.00014,3.4e-05,0.00018,0.00011,0.0001,4.4e-05,5.5e-05,3.7e-05,0.00011,6.4e-05,4.1e-05,0.0001,7.4e-05,8e-05,2.2e-05,2.8e-05,2.8e-05,4.4e-05,5.9e-05,6.5e-05,5.9e-05,6.9e-05,0.00011,5.6e-05,7.7e-05
3800,9e-05,0.00021,6.2e-05,0.00023,0.00044,5.4e-05,4.9e-05,0.00016,5.8e-05,9.1e-05,0.00022,0.00018,0.00012,0.00026,9.7e-05,0.0001,3.4e-05,9.2e-05,9.8e-05,0.0001,2.9e-05,2.7e-05,2e-05,0.00013,3.5e-05,3.6e-05,4.9e-05,9.5e-05,8.6e-05,3.1e-05,7.2e-05,2.9e-05,4.6e-05,0.00012,4.2e-05,3.9e-05,5.1e-05,5.7e-05,9.7e-05,8.3e-05
3900,0.00011,0.00049,0.00011,0.00021,0.00029,8.6e-05,6.7e-05,0.00021,3.2e-05,0.00017,0.00013,0.00024,9.2e-05,0.00027,0.00025,0.00012,7.5e-05,0.00012,0.0001,0.00012,4.2e-05,4.7e-05,5.9e-05,9.6e-05,2.3e-05,5e-05,4e-05,0.00014,6.2e-05,5e-05,2.7e-05,4.9e-05,7.1e-05,0.00016,8.7e-05,5.8e-05,3.9e-05,5.7e-05,5.3e-05,0.00011
4000,0.00012,0.00029,6e-05,0.00014,0.00019,8.8e-05,5.7e-05,0.00012,5.3e-05,9.3e-05,0.00015,0.00028,6.5e-05,0.00011,0.00017,0.00015,4.8e-05,0.00013,7.4e-05,0.00012,4.1e-05,4.8e-05,5.7e-05,9.5e-05,7.8e-05,3.6e-05,6.4e-05,5e-05,4.5e-05,2.2e-05,4.8e-05,5.3e-05,4.1e-05,4.8e-05,5.9e-05,7.7e-05,7.9e-05,9.8e-05,5.9e-05,9.7e-05
4100,0.00014,0.00018,4.7e-05,0.00018,0.00022,7.4e-05,3.1e-05,0.00013,9.6e-05,5.8e-05,0.00014,0.00038,8e-05,0.00082,0.00033,0.00024,6.1e-05,0.00017,0.00017,8.1e-05,6e-05,2.2e-05,2e-05,6.6e-05,0.00012,4.9e-05,5.3e-05,5.2e-05,7.6e-05,2.4e-05,5.4e-05,4.8e-05,6.1e-05,0.00011,4.5e-05,6.8e-05,6.9e-05,5.2e-05,8.3e-05,5e-05
4200,0.00018,0.00025,6.6e-05,0.00022,0.00011,7.2e-05,6.1e-05,0.00015,4.4e-05,0.0001,0.00014,0.00021,0.00017,0.00055,0.00027,0.00011,6.9e-05,0.00022,0.00015,0.00012,4.6e-05,4.8e-05,2.1e-05,9.5e-05,1.6e-05,3.4e-05,7.4e-05,5.5e-05,6.5e-05,5.4e-05,2.7e-05,4.3e-05,4.5e-05,0.00011,2.8e-05,4.7e-05,4.4e-05,0.00011,8.5e-05,6.6e-05
