iteration,PINN__seed3__loss,PINN__seed20__loss,PINN__seed57__loss,PINN__seed73__loss,PINN__seed88__loss,PINN__seed487__loss,PINN__seed672__loss,PINN__seed954__loss,PINN__seed3407__loss,PINN__seed114514__loss,PINN-RAR__seed3__loss,PINN-RAR__seed20__loss,PINN-RAR__seed57__loss,PINN-RAR__seed73__loss,PINN-RAR__seed88__loss,PINN-RAR__seed487__loss,PINN-RAR__seed672__loss,PINN-RAR__seed954__loss,PINN-RAR__seed3407__loss,PINN-RAR__seed114514__loss,QPINN__seed3__loss,QPINN__seed20__loss,QPINN__seed57__loss,QPINN__seed73__loss,QPINN__seed88__loss,QPINN__seed487__loss,QPINN__seed672__loss,QPINN__seed954__loss,QPINN__seed3407__loss,QPINN__seed114514__loss,QPINN-RAR__seed3__loss,QPINN-RAR__seed20__loss,QPINN-RAR__seed57__loss,QPINN-RAR__seed73__loss,QPINN-RAR__seed88__loss,QPINN-RAR__seed487__loss,QPINN-RAR__seed672__loss,QPINN-RAR__seed954__loss,QPINN-RAR__seed3407__loss,QPINN-RAR__seed114514__loss
3700,9.9e-05,9.6e-06,9.1e-06,1.7e-05,0.00028,1.5e-05,1.4e-05,1.1e-05,1.5e-05,0.00033,0.00012,2.3e-05,1.6e-05,3.1e-05,0.00012,1.5e-05,2.3e-05,4.8e-05,1.7e-05,0.00023,3.2e-05,1e-05,1.5e-05,2.6e-05,3.7e-05,1.9e-05,4.4e-05,2.8e-05,1.4e-05,2e-05,4.6e-05,1.2e-05,8.9e-06,4.1e-05,3.9e-05,1.1e-05,3.1e-05,2e-05,1.4e-05,1.7e-05
3800,0.00011,1.1e-05,1.2e-05,3.9e-05,0.00013,5.8e-06,8.4e-06,1.8e-05,6.5e-06,0.00025,0.00011,1.4e-05,7.7e-06,4.3e-05,0.00017,2e-05,8.5e-06,1.4e-05,1.3e-05,0.00025,3.5e-05,1.5e-05,8.3e-06,3.2e-05,1.4e-05,1.3e-05,2.5e-05,1.9e-05,1.1e-05,1.9e-05,3.1e-05,1e-05,7.4e-06,3.5e-05,3.4e-05,9.3e-06,4.6e-05,2.6e-05,2.5e-05,1.8e-05
3900,5.5e-05,4.9e-06,1.2e-05,3.1e-05,0.00013,8.4e-06,7.4e-06,1.2e-05,1.8e-05,0.00027,0.00011,8e-06,1e-05,2.7e-05,0.00011,1e-05,2.9e-05,3.8e-05,8.6e-06,0.0004,2.7e-05,1.1e-05,7.4e-06,3.6e-05,2.5e-05,1.2e-05,3.3e-05,2e-05,2.2e-05,2e-05,4.9e-05,1.1e-05,1.3e-05,4.2e-05,2.3e-05,1.5e-05,2.3e-05,2.2e-05,1.6e-05,2.1e-05
4000,0.0001,6e-06,7.9e-06,2.9e-05,0.00011,1.3e-05,8.1e-06,7.3e-06,1.6e-05,0.00025,7.3e-05,8.8e-06,8.1e-06,0.00012,0.00016,1.1e-05,1e-05,9.8e-06,7.3e-06,0.00018,3.4e-05,8.9e-06,7.2e-06,2.9e-05,1.8e-05,9.7e-06,2e-05,1.4e-05,2.7e-05,1.5e-05,3e-05,8.8e-06,1.7e-05,3.2e-05,3.7e-05,1.8e-05,3.5e-05,1.7e-05,2e-05,1.5e-05
4100,7.9e-05,1.6e-05,6e-06,1.4e-05,0.0001,1.1e-05,6.2e-06,8.6e-06,1.6e-05,0.0002,0.00011,8.8e-06,5.8e-05,2e-05,0.00011,1.2e-05,1.8e-05,2.5e-05,9.9e-06,0.00046,2.3e-05,1e-05,1e-05,2.3e-05,3.8e-05,1e-05,2.1e-05,3e-05,2.6e-05,1.2e-05,2.1e-05,9.4e-06,6.5e-06,3.1e-05,2.7e-05,1.3e-05,3.6e-05,2.1e-05,2.2e-05,1.4e-05
4200,7.6e-05,6.8e-06,3.3e-06,1.8e-05,8.2e-05,6.6e-06,3.8e-06,9.7e-06,1.7e-05,0.00022,0.00012,1.6e-05,8.2e-06,2e-05,0.00013,3.5e-05,1.1e-05,1.3e-05,1.9e-05,0.00034,1.9e-05,1e-05,4.3e-06,1.9e-05,3.8e-05,9.1e-06,1.4e-05,1.9e-05,2.4e-05,1.4e-05,2.5e-05,1.2e-05,4.9e-06,2.7e-05,2.8e-05,9.6e-06,2.3e-05,2.6e-05,1.3e-05,1.1e-05
4300,5.7e-05,1.2e-05,6.2e-06,1.1e-05,5.6e-05,8.9e-06,9.1e-06,1.4e-05,4.3e-06,0.00015,8.6e-05,9.9e-06,6.2e-06,3.2e-05,8.4e-05,1.2e-05,1.2e-05,1.5e-05,2.4e-05,0.00016,1.9e-05,1.5e-05,4.5e-06,2.1e-05,2.6e-05,1.5e-05,2.1e-05,2.1e-05,2.6e-05,1.3e-05,2e-05,1.1e-05,6e-06,1.6e-05,4.5e-05,1.1e-05,2e-05,1.7e-05,2.7e-05,1e-05
4400,3e-05,8.3e-06,1.3e-05,2.6e-05,5.5e-05,1.4e-05,8.1e-06,8.2e-06,3.8e-06,0.00021,9.2e-05,8.8e-06,4.6e-06,1.9e-05,7.1e-05,2.3e-05,4.6e-06,9.4e-06,1e-05,0.00019,1.8e-05,7.6e-06,1.2e-05,1.7e-05,2.8e-05,1.3e-05,2.9e-05,1.1e-05,1.7e-05,9.7e-06,3.4e-05,1e-05,5.7e-06,1.9e-05,2.5e-05,1.6e-05,1.1e-05,1.7e-05,2.6e-05,9.9e-06
4500,3.3e-05,1.4e-05,6.9e-06,2.6e-05,0.00011,7.9e-06,4.5e-06,2.8e-05,1.5e-05,9.6e-05,5.7e-05,9.9e-06,5.3e-06,2.2e-05,8.4e-05,9.8e-06,7.9e-06,8.9e-06,1.5e-05,0.00012,2.9e-05,5.4e-06,5.8e-06,1.5e-05,2.5e-05,1.1e-05,1.7e-05,1.3e-05,1.9e-05,7.4e-06,1.7e-05,7.5e-06,1.3e-05,3.1e-05,2.6e-05,1.4e-05,1.7e-05,1.1e-05,1.6e-05,1.3e-05
4600,3.5e-05,5.7e-06,5e-06,2.4e-05,4.6e-05,9.2e-06,1.1e-05,5.7e-06,5.7e-06,0.00011,3.5e-05,6.7e-06,6.4e-06,2.6e-05,4.8e-05,1.3e-05,6.1e-06,8.5e-06,5.9e-06,0.00011,1.3e-05,1.4e-05,8.5e-06,2.2e-05,1.3e-05,1.4e-05,2.1e-05,1.3e-05,2.1e-05,9.8e-06,2.2e-05,6e-06,8.4e-06,2.7e-05,2.3e-05,8e-06,1.6e-05,1.9e-05,8.6e-06,8.5e-06
