iteration,PINN__seed1__loss,PINN__seed2__loss,PINN__seed3__loss,PINN__seed10__loss,PINN__seed42__loss,PINN__seed68__loss,PINN__seed79__loss,PINN__seed88__loss,PINN__seed203__loss,PINN__seed3407__loss,PINN-RAR__seed1__loss,PINN-RAR__seed2__loss,PINN-RAR__seed3__loss,PINN-RAR__seed10__loss,PINN-RAR__seed42__loss,PINN-RAR__seed68__loss,PINN-RAR__seed79__loss,PINN-RAR__seed88__loss,PINN-RAR__seed203__loss,PINN-RAR__seed3407__loss,QPINN__seed1__loss,QPINN__seed2__loss,QPINN__seed3__loss,QPINN__seed10__loss,QPINN__seed42__loss,QPINN__seed68__loss,QPINN__seed79__loss,QPINN__seed88__loss,QPINN__seed203__loss,QPINN__seed3407__loss,QPINN-RAR__seed1__loss,QPINN-RAR__seed2__loss,QPINN-RAR__seed3__loss,QPINN-RAR__seed10__loss,QPINN-RAR__seed42__loss,QPINN-RAR__seed68__loss,QPINN-RAR__seed79__loss,QPINN-RAR__seed88__loss,QPINN-RAR__seed203__loss,QPINN-RAR__seed3407__loss
4100,0.0012,0.0019,0.0008,0.0011,0.00098,0.00046,0.00066,0.00038,0.0009,0.00054,0.002,0.0023,0.0029,0.0018,0.0019,0.0018,0.0015,0.0015,0.0019,0.0014,0.0021,0.0014,0.00093,0.00063,0.0022,0.0013,0.0031,0.0015,0.00086,0.0011,0.0017,0.0027,0.0038,0.0018,0.0013,0.0032,0.002,0.0022,0.0025,0.001
4200,0.00078,0.0009,0.0014,0.0015,0.0009,0.00059,0.00058,0.00042,0.00087,0.00086,0.0019,0.0014,0.0042,0.0017,0.0016,0.0013,0.0023,0.0013,0.0016,0.00073,0.00069,0.0014,0.0013,0.0011,0.0025,0.0015,0.0045,0.0011,0.0011,0.0015,0.0014,0.002,0.0033,0.0029,0.0021,0.003,0.0027,0.0026,0.002,0.00071
4300,0.00077,0.00079,0.00089,0.00083,0.00072,0.00066,0.00096,0.00025,0.00081,0.00083,0.0019,0.0016,0.002,0.0021,0.0021,0.0015,0.0014,0.00097,0.0015,0.00088,0.0019,0.0014,0.0013,0.00047,0.0016,0.0012,0.0011,0.00074,0.00082,0.0027,0.0011,0.0022,0.002,0.0013,0.0029,0.0035,0.0021,0.0018,0.0015,0.0011
4400,0.00064,0.0015,0.00097,0.00053,0.0014,0.00088,0.00053,0.00049,0.001,0.00022,0.00091,0.0018,0.0017,0.0017,0.0014,0.0012,0.0016,0.00083,0.0016,0.00088,0.00084,0.00079,0.0008,0.0007,0.0027,0.0011,0.00076,0.0013,0.0012,0.0018,0.0013,0.0018,0.0035,0.0018,0.0013,0.0021,0.0017,0.0016,0.0015,0.00058
4500,0.00073,0.002,0.0019,0.0014,0.0012,0.00067,0.00044,0.00059,0.0004,0.00071,0.0011,0.0022,0.0013,0.0017,0.0018,0.0014,0.002,0.00063,0.002,0.00084,0.00073,0.0015,0.0012,0.0014,0.001,0.0014,0.0033,0.0009,0.00057,0.0018,0.0013,0.0015,0.0017,0.0014,0.002,0.0027,0.0021,0.001,0.0027,0.00073
4600,0.00076,0.0016,0.00095,0.0012,0.00097,0.00065,0.00063,0.00028,0.0012,0.00046,0.00059,0.002,0.0019,0.0019,0.0018,0.0018,0.0011,0.001,0.00088,0.00081,0.0016,0.0019,0.0012,0.00076,0.0022,0.00086,0.0012,0.0015,0.0013,0.0008,0.0014,0.0022,0.0022,0.0018,0.0019,0.0038,0.0021,0.0023,0.002,0.0012
4700,0.00052,0.00079,0.00068,0.0013,0.00066,0.0005,0.00066,0.00057,0.00039,0.00042,0.0011,0.0015,0.0013,0.0014,0.0013,0.0012,0.0013,0.0013,0.0013,0.00078,0.00099,0.0013,0.0005,0.0016,0.0019,0.00079,0.0011,0.00091,0.00035,0.0014,0.00079,0.0033,0.003,0.00076,0.0016,0.0027,0.0014,0.0021,0.0017,0.00067
4800,0.00049,0.0014,0.001,0.00054,0.00061,0.00034,0.00073,0.00039,0.00062,0.00031,0.0011,0.0011,0.0017,0.0015,0.0019,0.00071,0.0015,0.0007,0.0011,0.0011,0.00073,0.0014,0.0016,0.00061,0.0024,0.0021,0.0009,0.0011,0.00044,0.0012,0.00077,0.0027,0.0024,0.00087,0.0016,0.0033,0.0022,0.00099,0.0015,0.0011
4900,0.0006,0.0007,0.0013,0.0011,0.00073,0.0006,0.00069,0.0002,0.0012,0.00046,0.00074,0.0021,0.0016,0.0013,0.0015,0.0012,0.0013,0.00054,0.00094,0.00056,0.00092,0.00082,0.0012,0.00079,0.0011,0.0015,0.0012,0.00081,0.0014,0.0011,0.0013,0.0018,0.0026,0.0015,0.00078,0.0023,0.0012,0.0014,0.0026,0.0006
5000,0.00035,0.0013,0.001,0.0006,0.00064,0.00073,0.00065,0.00028,0.00072,0.00011,0.00089,0.0014,0.0025,0.002,0.0017,0.0015,0.00073,0.00059,0.0011,0.00083,0.0013,0.0023,0.0015,0.00086,0.0015,0.0012,0.0021,0.00048,0.001,0.0006,0.00089,0.0024,0.0026,0.0013,0.0024,0.0037,0.002,0.0012,0.001,0.00076
5100,0.00066,0.0012,0.0012,0.00075,0.0014,0.00071,0.0004,0.0002,0.00083,0.00035,0.0013,0.0017,0.0026,0.00072,0.00096,0.0018,0.0014,0.00087,0.00065,0.00085,0.0013,0.0012,0.0011,0.00062,0.0022,0.0014,0.00089,0.00041,0.0013,0.0015,0.00086,0.0021,0.0023,0.0011,0.00082,0.0013,0.001,0.0022,0.0012,0.0012
5200,0.00031,0.0016,0.0005,0.0012,0.00046,0.00039,0.00048,0.00017,0.00033,0.00012,0.00077,0.0011,0.0015,0.0011,0.0019,0.00074,0.0013,0.00056,0.00056,0.00043,0.0018,0.0013,0.00021,0.00062,0.0012,0.0015,0.00095,0.00069,0.00042,0.00083,0.00082,0.0015,0.0024,0.00099,0.0022,0.003,0.0013,0.0014,0.0012,0.00069
5300,0.00044,0.00082,0.00064,0.0013,0.0007,0.0003,0.00086,0.00016,0.00062,0.00024,0.00068,0.0021,0.0012,0.001,0.002,0.0007,0.0011,0.00034,0.0017,0.00059,0.00084,0.00074,0.00057,0.0016,0.0018,0.002,0.0012,0.00088,0.0006,0.0011,0.00083,0.0017,0.0017,0.001,0.0012,0.0039,0.0017,0.0013,0.002,0.00054
5400,0.00044,0.00048,0.00079,0.0007,0.00071,0.00022,0.00062,0.00028,0.00035,0.00027,0.00077,0.00088,0.0013,0.00098,0.001,0.00077,0.0011,0.001,0.0007,0.00065,0.0011,0.0013,0.00057,0.00063,0.0017,0.001,0.0023,0.00082,0.00065,0.0011,0.00083,0.0016,0.0015,0.00082,0.0017,0.002,0.0021,0.0015,0.0014,0.00061
5500,0.0004,0.00098,0.00042,0.00066,0.0011,0.00059,0.0007,0.00025,0.00034,0.0002,0.00068,0.0014,0.0017,0.0011,0.001,0.00096,0.0012,0.00057,0.00078,0.00087,0.00054,0.0017,0.00064,0.00051,0.0016,0.0013,0.0017,0.001,0.00052,0.00073,0.00069,0.0014,0.0031,0.0014,0.00084,0.0023,0.0018,0.002,0.0026,0.00084
5600,0.00039,0.00087,0.00064,0.00054,0.00064,0.00052,0.00079,0.00032,0.00024,0.00013,0.00059,0.001,0.00086,0.00099,0.0012,0.00076,0.00096,0.00062,0.00076,0.00089,0.00066,0.00096,0.00054,0.0012,0.002,0.00098,0.0011,0.00075,0.00082,0.00072,0.00078,0.0028,0.0026,0.0011,0.0014,0.0023,0.0016,0.0014,0.0019,0.00057
5700,0.00042,0.00056,0.00074,0.00093,0.00059,0.00052,0.00053,0.00025,0.00044,0.00038,0.0011,0.0015,0.001,0.001,0.00096,0.00063,0.00066,0.00084,0.0012,0.00065,0.00058,0.001,0.00085,0.0015,0.002,0.0011,0.0016,0.00063,0.00079,0.0013,0.00092,0.0016,0.0011,0.0016,0.0012,0.0012,0.0014,0.0014,0.0018,0.001
5800,0.00025,0.0013,0.00078,0.00032,0.00071,0.0004,0.00041,0.00019,0.00061,0.00018,0.00083,0.00081,0.0013,0.00068,0.00089,0.0009,0.0011,0.00054,0.00083,0.00049,0.00052,0.0011,0.0012,0.001,0.0013,0.0019,0.00094,0.00076,0.00062,0.002,0.00033,0.0012,0.0021,0.00076,0.0013,0.0021,0.0014,0.0016,0.0022,0.00066
