iteration,PINN__seed1__rel_l2_error,PINN__seed2__rel_l2_error,PINN__seed3__rel_l2_error,PINN__seed10__rel_l2_error,PINN__seed42__rel_l2_error,PINN__seed68__rel_l2_error,PINN__seed79__rel_l2_error,PINN__seed88__rel_l2_error,PINN__seed203__rel_l2_error,PINN__seed3407__rel_l2_error,PINN-RAR__seed1__rel_l2_error,PINN-RAR__seed2__rel_l2_error,PINN-RAR__seed3__rel_l2_error,PINN-RAR__seed10__rel_l2_error,PINN-RAR__seed42__rel_l2_error,PINN-RAR__seed68__rel_l2_error,PINN-RAR__seed79__rel_l2_error,PINN-RAR__seed88__rel_l2_error,PINN-RAR__seed203__rel_l2_error,PINN-RAR__seed3407__rel_l2_error,QPINN__seed1__rel_l2_error,QPINN__seed2__rel_l2_error,QPINN__seed3__rel_l2_error,QPINN__seed10__rel_l2_error,QPINN__seed42__rel_l2_error,QPINN__seed68__rel_l2_error,QPINN__seed79__rel_l2_error,QPINN__seed88__rel_l2_error,QPINN__seed203__rel_l2_error,QPINN__seed3407__rel_l2_error,QPINN-RAR__seed1__rel_l2_error,QPINN-RAR__seed2__rel_l2_error,QPINN-RAR__seed3__rel_l2_error,QPINN-RAR__seed10__rel_l2_error,QPINN-RAR__seed42__rel_l2_error,QPINN-RAR__seed68__rel_l2_error,QPINN-RAR__seed79__rel_l2_error,QPINN-RAR__seed88__rel_l2_error,QPINN-RAR__seed203__rel_l2_error,QPINN-RAR__seed3407__rel_l2_error
3500,0.18,0.18,0.13,0.22,0.18,0.14,0.19,0.14,0.19,0.15,0.15,0.2,0.14,0.21,0.16,0.14,0.2,0.13,0.18,0.15,0.21,0.24,0.13,0.2,0.27,0.14,0.21,0.19,0.21,0.19,0.19,0.35,0.21,0.24,0.18,0.17,0.21,0.16,0.24,0.21
3600,0.16,0.17,0.13,0.21,0.18,0.14,0.19,0.13,0.18,0.15,0.15,0.2,0.13,0.2,0.24,0.14,0.2,0.13,0.17,0.15,0.21,0.23,0.12,0.19,0.25,0.13,0.22,0.19,0.21,0.19,0.19,0.32,0.2,0.24,0.18,0.16,0.21,0.15,0.23,0.23
3700,0.16,0.17,0.14,0.21,0.17,0.12,0.2,0.13,0.19,0.15,0.14,0.2,0.13,0.18,0.16,0.15,0.19,0.14,0.19,0.13,0.21,0.23,0.13,0.19,0.26,0.14,0.21,0.19,0.21,0.19,0.18,0.32,0.19,0.23,0.18,0.15,0.23,0.16,0.24,0.21
3800,0.17,0.17,0.13,0.2,0.18,0.13,0.19,0.12,0.17,0.13,0.15,0.19,0.13,0.18,0.15,0.15,0.22,0.12,0.17,0.14,0.2,0.24,0.12,0.18,0.23,0.13,0.2,0.2,0.21,0.18,0.18,0.32,0.21,0.24,0.16,0.14,0.21,0.15,0.22,0.22
3900,0.16,0.18,0.14,0.22,0.18,0.12,0.18,0.12,0.18,0.13,0.15,0.18,0.12,0.18,0.16,0.14,0.19,0.12,0.18,0.13,0.21,0.23,0.13,0.19,0.25,0.13,0.2,0.19,0.21,0.18,0.19,0.3,0.19,0.22,0.17,0.15,0.22,0.15,0.22,0.22
4000,0.15,0.17,0.13,0.19,0.17,0.12,0.18,0.12,0.18,0.13,0.14,0.19,0.15,0.17,0.15,0.14,0.18,0.11,0.19,0.13,0.18,0.22,0.12,0.19,0.24,0.12,0.21,0.19,0.21,0.18,0.18,0.31,0.18,0.2,0.17,0.15,0.23,0.15,0.23,0.22
4100,0.14,0.16,0.14,0.19,0.18,0.11,0.19,0.13,0.16,0.12,0.15,0.2,0.15,0.18,0.17,0.14,0.19,0.12,0.19,0.15,0.19,0.23,0.13,0.19,0.23,0.13,0.2,0.18,0.2,0.17,0.18,0.3,0.18,0.22,0.16,0.15,0.21,0.16,0.24,0.22
4200,0.15,0.17,0.12,0.18,0.19,0.13,0.18,0.11,0.22,0.16,0.17,0.2,0.16,0.17,0.17,0.15,0.2,0.13,0.19,0.14,0.21,0.22,0.13,0.19,0.23,0.13,0.21,0.18,0.21,0.18,0.19,0.29,0.18,0.2,0.17,0.14,0.24,0.16,0.23,0.21
4300,0.15,0.15,0.2,0.2,0.16,0.11,0.18,0.11,0.17,0.13,0.15,0.19,0.14,0.18,0.16,0.12,0.19,0.12,0.17,0.13,0.18,0.21,0.13,0.19,0.23,0.12,0.2,0.18,0.21,0.16,0.17,0.28,0.18,0.19,0.17,0.13,0.23,0.15,0.22,0.2
4400,0.15,0.17,0.12,0.17,0.18,0.15,0.2,0.1,0.15,0.13,0.15,0.19,0.14,0.17,0.15,0.13,0.18,0.13,0.24,0.14,0.21,0.22,0.11,0.18,0.25,0.13,0.2,0.18,0.19,0.17,0.17,0.27,0.18,0.21,0.16,0.13,0.21,0.14,0.23,0.22
